keep,name,reviewCount,rating,googleType,address,categories,isIndoor,lat,lng,id
,"DINING PUB おりべ",38,4,"bar","京都市山科区大宅御供田町６ 日宝サンフローラ一本道 ＢＦ１","night|food",true,34.9696803,135.8137697,"ChIJ-f8vAIoOAWARnWNVrP7ZKpw"
,"ICHIRO TSURUTA Gallery",39,4.7,"art_gallery","京都市下京区若宮通六条若宮町５４６−２","culture|photo",true,34.9937421,135.7558283,"ChIJq566EKEIAWARqSPUNMq2CZE"
,"こばち屋 MUM",39,4.2,"bar","京都市左京区田中下柳町８−６１","night|food",true,35.0286508,135.7736989,"ChIJY49qyvQJAWARq0-dCwgmnog"
,"ハリス理化学館 同志社ギャラリー",39,4.4,"museum","京都市上京区玄武町５９８−１","culture",true,35.0303091,135.7609797,"ChIJPRw6M3IIAWARGV8d1K5brZg"
,"きくた",39,4.6,"japanese_izakaya_restaurant","京都市左京区浄土寺西田町１１４","night|food",true,35.0285219,135.7878764,"ChIJycQjg_8IAWARSiLZh3PTS-k"
,"ロレーヌ",39,4,"bakery","京都市伏見区醍醐切レ戸町１０−５ ＬＯＲＲＡＩＮＥ","food",true,34.9565869,135.8177541,"ChIJ_TpekG0OAWARF1Yn6mw5luA"
,"しみず COFFEE SHOP",40,4.4,"coffee_shop","京都市左京区田中下柳町８−１","quiet|food",true,35.0289188,135.7736406,"ChIJieg0-FwIAWARq4dmNhJ0kbw"
,"桜井公園",40,4.3,"park","京都市上京区桜井町９５","nature|quiet",false,35.03053010000001,135.7468678,"ChIJv9Az1-YHAWARM78sY4kq9tw"
,"フルール",40,4.5,"cake_shop","京都市伏見区大阪町６０６−１０２","food",true,34.9316375,135.7620412,"ChIJ0X65DJIPAWARGrYpQ7v4F-0"
,"若林書店 伏見店",41,4.1,"book_store","京都市伏見区京町南８丁目１０１−３","quiet|culture",true,34.939903799999996,135.7651962,"ChIJ9XBvP5oPAWAR0gRtWyvqv-c"
,"フードバー エネル(ener)",42,4.5,"bar","京都市上京区今出川通千本南上善寺町１７５ ｅｎｅｒ","night|food",true,35.0294409,135.7411345,"ChIJk3d4NHIIAWARpuiOYzFO7jc"
,"Lodgepole",42,4.2,"restaurant","京都市山科区椥辻草海道町９−１","quiet|food",true,34.9730583,135.8157611,"ChIJ47QZBIkOAWARrR51MGxvH1M"
,"幸楽",42,4.1,"yakiniku_restaurant","京都市山科区大宅桟敷２−５７","food",true,34.9701223,135.8176312,"ChIJTSOwxmIOAWARIjsswBixZ1Q"
,"遠藤書店",43,4.5,"book_store","京都市南区東九条北烏丸町３３","quiet|culture",true,34.981055999999995,135.76097199999998,"ChIJ8RqBslIPAWARTXBKz6YLaVw"
,"まいこと 祇園店",43,4,"store","京都市東山区祇園町北側２４４","food",true,35.0040592,135.7735401,"ChIJCeMNzcEIAWARinO8CPDvNao"
,"noki noki 自家焙煎コーヒーショップ&カフェ",43,4.8,"cafe","京都市上京区有馬町１９２−１","quiet|food",true,35.0303867,135.7456669,"ChIJOxdGbTsHAWARPsqhvwdsHws"
,"スーパーマリオ壁面",44,4.8,"tourist_attraction","京都市下京区奈良物町３７５","photo|culture",false,35.0037034,135.76643719999998,"ChIJEZuGAwQJAWAR0pnlmmMglLg"
,"月真院",44,4.2,"buddhist_temple","京都市東山区 下河原町５２８","photo|culture",false,35.0010013,135.780156,"ChIJkzfQKcUIAWARBnvTyjx7mQg"
,"しづ",44,4.7,"japanese_izakaya_restaurant","京都市上京区五辻通大宮五辻町６５−４ 五辻ビル","food",true,35.031132,135.7472,"ChIJJcxVzOYHAWAR2Kmx1WQItrw"
,"イタリアワイン Enoteca C.d.G",44,4.7,"wine_bar","京都市伏見区平野町６７−１","night|food",true,34.9319294,135.7606114,"ChIJ55oM4Y0PAWARDjKtdcM9luo"
,"茶寮桐山",45,4.8,"japanese_restaurant","京都市左京区鹿ケ谷法然院町１５","quiet|food",true,35.022038099999996,135.7947821,"ChIJ1Y9VzB0JAWAR-ABkq7aPT4w"
,"パン処太陽",45,4.2,"bakery","京都市右京区嵯峨折戸町２７−９","food",true,35.017187,135.6862691,"ChIJ13pDlVMHAWAR7_7s0PVO9q8"
,"八坂倶楽部",46,4.6,"museum","京都市東山区祇園町南側５７０−２","culture",true,35.00116,135.7755674,"ChIJs6bT_cMIAWARydfsEx03GU8"
,"坂上田村麻呂之墓",46,4,"historical_landmark","京都市山科区勧修寺東栗栖野町４６","photo|culture",false,34.9705563,135.8085323,"ChIJ_XZSyPQOAWARvdBqZjiyk1c"
,"ズッカ・ダ・ヴィーノ｜京都の四季を感じるイタリアン 祇園八坂",47,4.3,"italian_restaurant","京都市東山区 円山町 八坂鳥居前東入ル円山公園内","food",true,35.0045487,135.7798522,"ChIJE4UnOsMIAWAREtDvDTgtfY8"
,"NAM HALL (ナムホール)",47,4.2,"concert_hall","京都市左京区岡崎天王町５４−２ 地下1F","culture",true,35.0165739,135.78699229999998,"ChIJ4fjFueMIAWARofU7rcl26ag"
,"パン工房 橙",47,4.1,"bakery","京都市西京区嵐山朝月町２１","food",true,35.0008629,135.68781389999998,"ChIJJ8SqiEcHAWARpCpMJ5mOcCI"
,"レモンハート21",47,4.9,"bar","京都市山科区椥辻東潰３２−４","food",true,34.971105,135.8142949,"ChIJzTdBjYkOAWARLVyUHqoSUaw"
,"El camino（エルカミノ）",48,4.6,"book_store","京都市上京区三芳町１３２−１","quiet|culture",true,35.0301992,135.76894,"ChIJ-9TRAeIJAWARqSMOo9izTqo"
,"haku kyoto ( gallery / tea stand )",49,4.9,"art_gallery","京都市下京区中之町５６６","culture|photo",true,35.0020933,135.766763,"ChIJ26jWR5wJAWARZjjGQFVKYnc"
,"祇をん香kou",49,4.8,"wine_bar","京都市東山区祇園町南側５０６−２","quiet|food",true,35.0026455,135.7782064,"ChIJR_WlcdAJAWARi7vO_vUSViE"
,"西陣麦酒 醸造所 / 京町家タップルーム",49,4.6,"liquor_store","京都市上京区薬師町２３４","night|food",true,35.0293724,135.7487577,"ChIJxTg-1ZsHAWARTHyzX76VG8c"
,"慈受院門跡",49,4.2,"buddhist_temple","京都市上京区 寺之内掘川東入百々町540","photo|culture",false,35.034236,135.7522019,"ChIJ0zOICAoIAWARPAl24qT0kVo"
